date,demand,RRP,temp_ave,solar_exposure
7/02/2019,141593.545,147.6879095,24.5,25.1
8/02/2019,117327.495,107.8491587,20.6,21.1
9/02/2019,95668.77,44.17631186,17.15,13.6
10/02/2019,94786.72,86.43577587,18.15,23.5
11/02/2019,114085.645,97.71508951,20.95,18.6
12/02/2019,107697.205,57.33821194,19.95,12.4
13/02/2019,106692.845,85.98148307,15.5,23.7
14/02/2019,107655.08,108.2907152,17.75,24.2
15/02/2019,113910.46,114.7685038,18.8,23.1
16/02/2019,106467.235,127.4802754,19.65,24.2
17/02/2019,108470.925,110.4895928,22,20
18/02/2019,116995.065,104.4634554,20.8,16.9
19/02/2019,110531.6,105.0981782,16.95,21.4
20/02/2019,108972.305,111.0460243,18.35,20.8
21/02/2019,110235.335,114.360572,17.2,16.2
22/02/2019,109901.76,103.0440629,18.35,23.9
23/02/2019,99890.25,77.03140322,21.1,24
24/02/2019,106877.865,87.18091338,23.35,24.6
25/02/2019,133476.605,139.955977,26.1,24.4
26/02/2019,123114.115,115.9396033,20.1,21
27/02/2019,125272.27,123.7875391,19.3,24
28/02/2019,150472.255,160.9384487,26.55,23.4
1/03/2019,163682.04,1284.799876,30.35,22.3
2/03/2019,146265.115,132.4925904,29.3,23.4
3/03/2019,138597.69,153.7842958,30.55,14.4
4/03/2019,136528.81,135.2064474,21.8,21.8
5/03/2019,126073.53,118.2619446,21.15,15.5
6/03/2019,108723.615,75.98119137,15.2,19.5
7/03/2019,114519.865,103.1975585,15.9,21.2
8/03/2019,117281.2,106.9388027,19.05,10.2
9/03/2019,106854.935,95.07842459,19.3,20
10/03/2019,101994.055,74.37493203,19,10.1
11/03/2019,103219.08,81.47204007,18.85,18.6
12/03/2019,110086.7,76.97154796,17.5,10.8
13/03/2019,114740.52,122.2385811,15.25,15.1
14/03/2019,112785.78,126.7859571,16.45,20.6
15/03/2019,111179.125,102.6085151,16.95,18.7
16/03/2019,105119.48,95.25118781,18.9,20.1
17/03/2019,105669.045,103.9571924,19.9,19.2
18/03/2019,121954.385,111.1497946,22.35,18.9
19/03/2019,123290.835,113.6447743,20.15,12.7
20/03/2019,123994.3,127.2765992,21.35,11.1
21/03/2019,124181.405,115.460165,21.25,12.5
22/03/2019,128305.64,111.2407066,23.65,15.3
23/03/2019,109147.65,98.95473172,25.6,13.6
24/03/2019,104226.83,97.85759965,22.9,16.9
25/03/2019,107583.935,80.29292737,16.9,13.6
26/03/2019,108840.18,95.56789356,16.3,15.9
27/03/2019,113307.595,114.1613715,16.4,17.8
