date,demand,RRP,temp_ave,solar_exposure
24/09/2020,117535.715,51.7793561,11.6,13.9
25/09/2020,126354.68,53.42920966,9.55,7.2
26/09/2020,106694.965,33.44471011,9.8,15
27/09/2020,101703.49,57.92002876,11.1,20.9
28/09/2020,114651.14,59.74605347,10.05,18.3
29/09/2020,112076.46,42.12017751,12.65,18.4
30/09/2020,113620.21,38.05764052,15.05,13
1/10/2020,106641.79,34.65467056,14.45,21.2
2/10/2020,99585.835,-6.076028369,19.4,22
3/10/2020,92277.025,-1.983470633,23.4,19.8
4/10/2020,94081.565,25.0086136,21.5,8.4
5/10/2020,113610.03,36.76470052,10.9,7.3
6/10/2020,122607.56,75.77105901,10.75,5.8
