date,demand,RRP,frac_at_neg_RRP,min_temperature,max_temperature,temp_ave,solar_exposure
3/01/2019,118789.605,127.3803026,0,15.9,29.5,22.7,27.6
4/01/2019,133288.46,121.0209967,0,18,42.6,30.3,27.4
5/01/2019,97262.79,83.49352049,0,17.4,21.2,19.3,12.9
6/01/2019,93606.215,65.76640698,0,14.6,22.1,18.35,30.9
7/01/2019,109874.9,85.07795745,0,17.1,23.1,20.1,30.2
8/01/2019,113446.1,104.9077815,0,16.7,24.1,20.4,28.9
9/01/2019,105483.435,91.85154672,0,16.1,20.5,18.3,28.4
10/01/2019,108078.695,96.41374257,0,13.5,21.4,17.45,25.8
11/01/2019,119728.635,116.3056708,0,12.9,30.4,21.65,31.5
12/01/2019,108628.96,88.99664281,0,17.7,24.7,21.2,28.6
13/01/2019,101853.24,75.27302388,0,14.4,30.5,22.45,31.3
14/01/2019,147070.535,188.1976495,0,18.7,32.3,25.5,31.1
15/01/2019,152496.245,222.438419,0,19.4,30.4,24.9,22.3
16/01/2019,136971.755,178.0796754,0,19.8,26.7,23.25,17.5
17/01/2019,145211.49,175.352893,0,20.7,32.5,26.6,6
18/01/2019,134898.21,137.8500262,0,22.3,28.7,25.5,2.6
19/01/2019,101692.45,80.78625249,0,16.5,23.5,20,30.2
20/01/2019,102283.13,86.60790073,0,15.2,22.9,19.05,29.2
21/01/2019,130517.97,176.68995,0,18.4,25.1,21.75,28.2
22/01/2019,141444.78,278.7777435,0,19,26.8,22.9,29.3
23/01/2019,125501.15,154.4731449,0,18.7,23.9,21.3,27.4
24/01/2019,155891.345,4549.645105,0,17.3,40.8,29.05,30
25/01/2019,168894.845,906.4372323,0,21.1,42.8,31.95,25.3
26/01/2019,114818.665,163.7336252,0,19.9,26.1,23,27.7
27/01/2019,99801.575,86.39622431,0,18.4,27.8,23.1,21.1
28/01/2019,112374.63,150.9484801,0,15.5,34.5,25,29.4
29/01/2019,138455.455,183.4002093,0,17.5,36.8,27.15,27.7
30/01/2019,142113.375,188.7424195,0,18,38.1,28.05,19.9
31/01/2019,110277.21,107.5212334,0,17.2,21.5,19.35,27.8
1/02/2019,104422.79,117.6827391,0,12.6,24.2,18.4,28.8
2/02/2019,124749.065,240.9545239,0,15,34.4,24.7,27.5
3/02/2019,133287.585,186.9176322,0,19.1,38.2,28.65,26.1
4/02/2019,119168.96,110.1512267,0,20,22.7,21.35,9.3
5/02/2019,119702.045,92.70133953,0,17.7,26.9,22.3,14.6
6/02/2019,140497.815,143.4550561,0,18.5,34.7,26.6,22.8
7/02/2019,141593.545,147.6879095,0,20.7,28.3,24.5,25.1
8/02/2019,117327.495,107.8491587,0,18.1,23.1,20.6,21.1
9/02/2019,95668.77,44.17631186,0.16666667,14.6,19.7,17.15,13.6
10/02/2019,94786.72,86.43577587,0,13,23.3,18.15,23.5
11/02/2019,114085.645,97.71508951,0,14.4,27.5,20.95,18.6
12/02/2019,107697.205,57.33821194,0,18.4,21.5,19.95,12.4
13/02/2019,106692.845,85.98148307,0,11.8,19.2,15.5,23.7
14/02/2019,107655.08,108.2907152,0,12.3,23.2,17.75,24.2
15/02/2019,113910.46,114.7685038,0,14.8,22.8,18.8,23.1
16/02/2019,106467.235,127.4802754,0,16.1,23.2,19.65,24.2
17/02/2019,108470.925,110.4895928,0,15,29,22,20
18/02/2019,116995.065,104.4634554,0,18,23.6,20.8,16.9
19/02/2019,110531.6,105.0981782,0,13.7,20.2,16.95,21.4
20/02/2019,108972.305,111.0460243,0,13.5,23.2,18.35,20.8
21/02/2019,110235.335,114.360572,0,14,20.4,17.2,16.2
22/02/2019,109901.76,103.0440629,0,15.5,21.2,18.35,23.9
23/02/2019,99890.25,77.03140322,0,16.4,25.8,21.1,24
24/02/2019,106877.865,87.18091338,0,13.8,32.9,23.35,24.6
25/02/2019,133476.605,139.955977,0,18,34.2,26.1,24.4
26/02/2019,123114.115,115.9396033,0,17.9,22.3,20.1,21
27/02/2019,125272.27,123.7875391,0,12.9,25.7,19.3,24
28/02/2019,150472.255,160.9384487,0,16.3,36.8,26.55,23.4
1/03/2019,163682.04,1284.799876,0,22.6,38.1,30.35,22.3
2/03/2019,146265.115,132.4925904,0,22.3,36.3,29.3,23.4
3/03/2019,138597.69,153.7842958,0,25.1,36,30.55,14.4
